,page,count
0,BC Valga,16.0
1,Basketball,15.0
2,Team sport,14.0
3,Sport,13.0
4,Competition,12.0
5,Territory (animal),11.0
6,Ethology,10.0
7,Scientific method,9.0
8,Scientific technique,8.0
9,Systematic process,7.0
10,Critical thinking,6.0
11,Fact,5.0
12,Experience,4.0
13,Knowledge,3.0
14,Awareness,2.0
15,Quality (philosophy),1.0
16,Archive of Serbia,7.0
17,National archives,6.0
18,Archive,5.0
19,Historical document,4.0
20,Document,3.0
21,Thought,2.0
22,Idea,1.0
23,Prvý Slíž,8.0
24,Slovakia,7.0
25,Geographic coordinate system,6.0
26,Coordinate system,5.0
27,Geometry,4.0
28,Mathematics,3.0
29,Quantity,2.0
30,Property (philosophy),1.0
31,Royal Wootton Bassett Town F.C.,12.0
32,England,11.0
33,Country,10.0
34,Political geography,9.0
35,Politics,8.0
36,Governance,7.0
37,Government,6.0
38,State (polity),5.0
39,Polity,4.0
40,Entity,3.0
41,Existence,2.0
42,Ontology,1.0
43,These Things,15.0
44,Rock music,14.0
45,Popular music,13.0
46,Music industry,12.0
47,Musical composition,11.0
48,Music,10.0
49,Art,9.0
50,Human behavior,8.0
51,Motion (physics),7.0
52,Physics,6.0
53,Natural science,5.0
54,Science,4.0
55,Przyjaźnia,8.0
56,Village,7.0
57,Human settlement,6.0
58,Geography,5.0
59,Harivanga,13.0
60,Mango,12.0
61,Drupe,11.0
62,Botany,10.0
63,Plant,9.0
64,Multicellular organism,8.0
65,Organism,7.0
66,Biology,6.0
67,Omoglymmius multicarinatus,9.0
68,Beetle,8.0
69,Insect,7.0
70,Class (biology),6.0
71,Taxonomy (biology),5.0
72,Ganyra josephina,9.0
73,Butterfly,8.0
74,Fat link,6.0
75,Hyperlink,5.0
76,Computing,4.0
77,George Perris,9.0
78,Athens,8.0
79,Greece,7.0
80,Southeast Europe,6.0
81,Titus Crow,5.0
82,Horror fiction,4.0
83,Genre,3.0
84,Category of being,2.0
85,Manchester Black,11.0
86,Character (arts),10.0
87,Person,9.0
88,Human,8.0
